model	date.run	location	aoa	yaw	v	L	D	Mp	Cl	Cd	Cm	Re	svl	A	s	AR	rho
Draco	20090325A	Haas	-15	0	7.0	-5.54E-02	4.21E-02	-2.36E-03	-1.46E-01	1.11E-01	-4.27E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	-10	0	7.0	4.93E-03	3.18E-02	-1.68E-03	1.30E-02	8.41E-02	-3.05E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	-5	0	7.0	4.86E-02	3.44E-02	-6.45E-04	1.28E-01	9.10E-02	-1.17E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	0	0	7.0	1.06E-01	4.33E-02	7.38E-04	2.81E-01	1.15E-01	1.34E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	5	0	7.0	1.50E-01	6.18E-02	1.80E-03	3.96E-01	1.63E-01	3.25E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	10	0	7.0	2.45E-01	9.74E-02	2.49E-03	6.48E-01	2.58E-01	4.51E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	15	0	7.0	2.99E-01	1.38E-01	2.77E-03	7.90E-01	3.64E-01	5.01E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	20	0	7.0	3.24E-01	1.75E-01	2.45E-03	8.58E-01	4.64E-01	4.44E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	25	0	7.0	2.78E-01	1.83E-01	1.78E-03	7.34E-01	4.85E-01	3.22E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	30	0	7.0	2.76E-01	2.13E-01	1.57E-03	7.29E-01	5.62E-01	2.85E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	35	0	7.0	3.01E-01	2.67E-01	1.63E-03	7.96E-01	7.05E-01	2.96E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	40	0	7.0	3.15E-01	3.21E-01	1.51E-03	8.33E-01	8.50E-01	2.73E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	45	0	7.0	2.82E-01	3.43E-01	1.49E-03	7.45E-01	9.07E-01	2.70E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	50	0	7.0	2.65E-01	3.78E-01	1.41E-03	7.01E-01	1.00E+00	2.54E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	55	0	7.0	2.27E-01	3.94E-01	1.21E-03	6.00E-01	1.04E+00	2.19E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	60	0	7.0	1.95E-01	4.18E-01	6.78E-04	5.16E-01	1.10E+00	1.23E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	65	0	7.0	1.56E-01	4.33E-01	-2.14E-04	4.14E-01	1.15E+00	-3.87E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	70	0	7.0	1.19E-01	4.46E-01	-7.78E-04	3.13E-01	1.18E+00	-1.41E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	75	0	7.0	7.73E-02	4.44E-01	-1.37E-03	2.04E-01	1.17E+00	-2.48E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	80	0	7.0	3.85E-02	4.44E-01	-1.93E-03	1.02E-01	1.17E+00	-3.49E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	85	0	7.0	9.08E-04	4.42E-01	-2.63E-03	2.40E-03	1.17E+00	-4.76E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090325A	Haas	90	0	7.0	-3.88E-02	4.39E-01	-3.27E-03	-1.03E-01	1.16E+00	-5.93E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	-15	0	7.0	-7.10E-02	4.10E-02	-2.61E-03	-1.88E-01	1.09E-01	-4.72E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	-10	0	7.0	-5.65E-03	3.22E-02	-1.70E-03	-1.49E-02	8.52E-02	-3.09E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	-5	0	7.0	5.20E-02	7.51E-02	-7.00E-04	1.37E-01	1.99E-01	-1.27E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	0	0	7.0	1.08E-01	8.52E-02	4.78E-04	2.86E-01	2.25E-01	8.65E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	5	0	7.0	1.93E-01	6.00E-02	1.62E-03	5.11E-01	1.59E-01	2.93E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	10	0	7.0	2.47E-01	9.82E-02	2.38E-03	6.54E-01	2.60E-01	4.32E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	15	0	7.0	3.02E-01	1.36E-01	2.79E-03	7.98E-01	3.60E-01	5.05E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	20	0	7.0	3.21E-01	1.74E-01	2.48E-03	8.48E-01	4.61E-01	4.49E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	25	0	7.0	3.07E-01	1.95E-01	1.69E-03	8.12E-01	5.17E-01	3.06E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	30	0	7.0	2.94E-01	2.23E-01	1.52E-03	7.77E-01	5.90E-01	2.75E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	35	0	7.0	2.97E-01	2.65E-01	1.66E-03	7.87E-01	7.00E-01	3.00E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	40	0	7.0	2.83E-01	2.95E-01	1.64E-03	7.47E-01	7.81E-01	2.97E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	45	0	7.0	2.77E-01	3.38E-01	1.51E-03	7.32E-01	8.94E-01	2.73E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	50	0	7.0	2.54E-01	3.68E-01	1.44E-03	6.71E-01	9.72E-01	2.60E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	55	0	7.0	2.27E-01	3.94E-01	1.12E-03	6.01E-01	1.04E+00	2.03E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	60	0	7.0	1.98E-01	4.22E-01	5.20E-04	5.24E-01	1.11E+00	9.40E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	65	0	7.0	1.60E-01	4.39E-01	-1.33E-04	4.23E-01	1.16E+00	-2.40E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	70	0	7.0	1.21E-01	4.51E-01	-7.72E-04	3.21E-01	1.19E+00	-1.40E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	75	0	7.0	5.32E-02	4.60E-01	-1.29E-03	1.41E-01	1.22E+00	-2.33E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	80	0	7.0	4.13E-02	4.50E-01	-1.98E-03	1.09E-01	1.19E+00	-3.59E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	85	0	7.0	9.89E-04	4.51E-01	-2.65E-03	2.61E-03	1.19E+00	-4.79E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401A	Haas	90	0	7.0	-4.04E-02	4.52E-01	-3.40E-03	-1.07E-01	1.19E+00	-6.15E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	-15	0	7.0	-5.25E-02	3.84E-02	-2.44E-03	-1.39E-01	1.01E-01	-4.42E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	-10	0	7.0	5.10E-03	3.03E-02	-1.61E-03	1.35E-02	8.01E-02	-2.92E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	-5	0	7.0	5.34E-02	3.23E-02	-7.52E-04	1.41E-01	8.53E-02	-1.36E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	0	0	7.0	1.14E-01	8.89E-02	5.82E-04	3.02E-01	2.35E-01	1.05E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	5	0	7.0	1.86E-01	6.49E-02	1.58E-03	4.91E-01	1.72E-01	2.86E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	10	0	7.0	2.50E-01	9.58E-02	2.43E-03	6.62E-01	2.53E-01	4.39E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	15	0	7.0	3.01E-01	1.37E-01	2.79E-03	7.95E-01	3.62E-01	5.05E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	20	0	7.0	3.28E-01	1.74E-01	2.43E-03	8.68E-01	4.60E-01	4.40E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	25	0	7.0	2.93E-01	1.90E-01	1.73E-03	7.76E-01	5.04E-01	3.14E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	30	0	7.0	2.94E-01	2.23E-01	1.51E-03	7.77E-01	5.89E-01	2.73E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	35	0	7.0	2.99E-01	2.61E-01	1.61E-03	7.90E-01	6.91E-01	2.92E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	40	0	7.0	2.86E-01	2.97E-01	1.65E-03	7.55E-01	7.86E-01	2.99E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	45	0	7.0	2.73E-01	3.35E-01	1.53E-03	7.22E-01	8.87E-01	2.78E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	50	0	7.0	2.51E-01	3.63E-01	1.42E-03	6.65E-01	9.59E-01	2.56E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	55	0	7.0	2.33E-01	4.04E-01	1.13E-03	6.16E-01	1.07E+00	2.05E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	60	0	7.0	1.98E-01	4.21E-01	4.92E-04	5.23E-01	1.11E+00	8.91E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	65	0	7.0	1.57E-01	4.33E-01	-1.84E-04	4.16E-01	1.14E+00	-3.32E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	70	0	7.0	1.19E-01	4.44E-01	-6.91E-04	3.15E-01	1.17E+00	-1.25E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	75	0	7.0	8.12E-02	4.52E-01	-1.38E-03	2.15E-01	1.19E+00	-2.49E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	80	0	7.0	4.03E-02	4.50E-01	-1.98E-03	1.07E-01	1.19E+00	-3.58E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	85	0	7.0	-7.60E-04	4.44E-01	-2.60E-03	-2.01E-03	1.17E+00	-4.70E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090401B	Haas	90	0	7.0	-3.42E-02	4.47E-01	-2.85E-03	-9.04E-02	1.18E+00	-5.15E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	-15	0	3.0	-6.40E-03	7.48E-03	-5.10E-04	-9.21E-02	1.08E-01	-5.03E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	0	0	3.0	2.15E-02	8.08E-03	1.14E-04	3.09E-01	1.16E-01	1.12E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	15	0	3.0	6.12E-02	2.87E-02	4.75E-04	8.81E-01	4.14E-01	4.68E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	30	0	3.0	5.73E-02	4.25E-02	3.10E-04	8.25E-01	6.12E-01	3.06E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	45	0	3.0	5.49E-02	6.87E-02	2.96E-04	7.91E-01	9.89E-01	2.91E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	60	0	3.0	3.61E-02	7.88E-02	8.04E-05	5.19E-01	1.14E+00	7.93E-03	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403A	Haas	90	0	3.0	-9.11E-03	8.36E-02	-6.23E-04	-1.31E-01	1.20E+00	-6.14E-02	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	-15	0	7.0	-5.74E-02	4.12E-02	-2.31E-03	-1.52E-01	1.09E-01	-4.18E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	-5	0	7.0	6.01E-02	3.31E-02	-3.00E-04	1.59E-01	8.76E-02	-5.43E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	0	0	7.0	1.14E-01	4.18E-02	6.95E-04	3.00E-01	1.10E-01	1.26E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	15	0	7.0	2.98E-01	1.34E-01	2.42E-03	7.88E-01	3.54E-01	4.38E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	30	0	7.0	2.89E-01	2.21E-01	1.57E-03	7.65E-01	5.83E-01	2.84E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	45	0	7.0	2.67E-01	3.29E-01	1.53E-03	7.05E-01	8.69E-01	2.78E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	60	0	7.0	1.99E-01	4.27E-01	6.71E-04	5.25E-01	1.13E+00	1.21E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	75	0	7.0	8.16E-02	4.53E-01	-1.22E-03	2.16E-01	1.20E+00	-2.21E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090403B	Haas	90	0	7.0	-4.02E-02	4.32E-01	-3.16E-03	-1.06E-01	1.14E+00	-5.71E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	-15	0	7.0	-4.92E-02	3.90E-02	-2.36E-03	-1.30E-01	1.03E-01	-4.27E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	-5	0	7.0	4.86E-02	3.30E-02	-5.01E-04	1.29E-01	8.72E-02	-9.07E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	0	0	7.0	1.11E-01	4.05E-02	6.35E-04	2.92E-01	1.07E-01	1.15E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	15	0	7.0	2.98E-01	1.34E-01	2.48E-03	7.89E-01	3.55E-01	4.49E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	30	0	7.0	2.98E-01	2.28E-01	1.56E-03	7.88E-01	6.03E-01	2.82E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	45	0	7.0	2.81E-01	3.42E-01	1.46E-03	7.44E-01	9.05E-01	2.65E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	60	0	7.0	2.00E-01	4.26E-01	5.29E-04	5.30E-01	1.13E+00	9.57E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	75	0	7.0	8.19E-02	4.58E-01	-1.45E-03	2.17E-01	1.21E+00	-2.62E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	90	0	7.0	-3.90E-02	4.40E-01	-3.16E-03	-1.03E-01	1.16E+00	-5.71E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
